"","Artists_names","titles","links"
"1","Robert Marx","The Strike (1953)","https://collections.ed.ac.uk/art/record/21691?highlight=*:*"
"2","John Brown","Treasure on a Loch","https://collections.ed.ac.uk/art/record/22603?highlight=*:*"
"3","Marjory Dickson","Riders from South Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20721?highlight=*:*"
"4","Eduardo Luigi Paolozzi KBE, RA","Preparatory sketch for main composition (1960)","https://collections.ed.ac.uk/art/record/53529?highlight=*:*"
"5","Boris Bućan","Central Park in the Dark Some 40 Years Ago (1974-1976)","https://collections.ed.ac.uk/art/record/21000?highlight=*:*"
"6","Unknown","William Shakespeare Otelo (1983)","https://collections.ed.ac.uk/art/record/22040?highlight=*:*"
"7","A. Parkinson","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21563?highlight=*:*"
"8","Alexander F Mitchell","Untitled","https://collections.ed.ac.uk/art/record/112501?highlight=*:*"
"9","Nugent","Striding Male Nude (1950)","https://collections.ed.ac.uk/art/record/21054?highlight=*:*"
"10",NA,"Unknown","https://collections.ed.ac.uk/art/record/50429?highlight=*:*"
"11","Edith Duke","Portrait of a Woman (1955)","https://collections.ed.ac.uk/art/record/21218?highlight=*:*"
"12","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21881?highlight=*:*"
"13","Unknown","Pekin knot sample","https://collections.ed.ac.uk/art/record/102730?highlight=*:*"
"14","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21557?highlight=*:*"
"15","Emma Gillies","Jug (1920s)","https://collections.ed.ac.uk/art/record/122134?highlight=*:*"
"16","Unknown","Tomb of Ferry de Gros, Lord of Dyeghem Nieunland","https://collections.ed.ac.uk/art/record/20567?highlight=*:*"
"17","Susan Robson","Tomb","https://collections.ed.ac.uk/art/record/22534?highlight=*:*"
"18","Unknown","Summer Fayre","https://collections.ed.ac.uk/art/record/22658?highlight=*:*"
"19","Violet Thompson","Seated Male Nude (1959)","https://collections.ed.ac.uk/art/record/21146?highlight=*:*"
"20","Paul Youngs","Unknown (1968)","https://collections.ed.ac.uk/art/record/53591?highlight=*:*"
"21","Mary Edward","Portrait of a Woman (1953)","https://collections.ed.ac.uk/art/record/21197?highlight=*:*"
"22","Unknown","Agriculture","https://collections.ed.ac.uk/art/record/20534?highlight=*:*"
"23","Jan Haycoe","Untitled (1971)","https://collections.ed.ac.uk/art/record/21836?highlight=*:*"
"24","Jo Ganter","Untitled (2007)","https://collections.ed.ac.uk/art/record/99974?highlight=*:*"
"25","John Gilbert","Unknown (1960)","https://collections.ed.ac.uk/art/record/53491?highlight=*:*"
"26","Robin E. Bownass","Unknown (1960)","https://collections.ed.ac.uk/art/record/50606?highlight=*:*"
"27","Zygmunt Bukowski","Reclining Male Nude (1949)","https://collections.ed.ac.uk/art/record/21324?highlight=*:*"
"28","Connie Dearness","Of Christine Clay (1964)","https://collections.ed.ac.uk/art/record/53583?highlight=*:*"
"29","Elizabeth Meldrum","Seated Male Nude (1958)","https://collections.ed.ac.uk/art/record/21158?highlight=*:*"
"30","Gabor Peterdi","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21659?highlight=*:*"
